dataset,model,split,scene,frames,iou,dice,precision,recall,failure,boundary_f1,component_count,pred_gt_area_ratio,bbox_iou
MoCH,ZoomNeXt_Baseline,Test,v_12_15,22,0.21068059810073853,0.3430529379056102,0.99670649951914,0.21083275215929162,0.8636363636363636,0.1451638647690003,2.4545454545454546,0.2115034145386213,0.3305401373319762
MoCH,ZoomNeXt_Baseline,Test,v_12_3,19,0.6559301730641148,0.7176940456927456,0.9770453842966567,0.6712777014394288,0.2631578947368421,0.3306119591791857,1.5789473684210527,0.6889572890751768,0.7006413759287592
MoCH,ZoomNeXt_Baseline,Test,v_13_11,18,0.9056861395702229,0.9503518138656949,0.9290856714160246,0.9732324097962509,0.0,0.479094486877442,1.3333333333333333,1.0485346616828286,0.8982507355013046
MoCH,ZoomNeXt_Baseline,Test,v_13_12,36,0.5382635232387499,0.6704263106375534,0.7546104840861073,0.6422642081508543,0.16666666666666666,0.38381257044468764,1.6944444444444444,0.8347678920630838,0.5925399334278498
MoCH,ZoomNeXt_Baseline,Test,v_13_13,28,0.03561781197554436,0.06707447380082902,0.91565931164315,0.03567238411265049,1.0,0.015183988250116973,2.8214285714285716,0.036572057734021335,0.17953916987084337
MoCH,ZoomNeXt_Baseline,Test,v_13_17,47,0.1581306994743525,0.21935354220408693,0.289064321398445,0.18666644854193484,0.7446808510638298,0.06649888091658501,2.4680851063829787,0.5787063007543463,0.19127252562994124
MoCH,ZoomNeXt_Baseline,Test,v_13_24,33,0.5008449314226587,0.6532105517431784,0.9577396948092671,0.522861560643082,0.030303030303030304,0.21506590329837205,2.0606060606060606,0.5555572618617977,0.6011971236519527
MoCH,ZoomNeXt_Baseline,Test,v_13_27,33,0.4526732115648457,0.6085353654482669,0.9434017197263308,0.48089475576040364,0.21212121212121213,0.2788826111437933,4.0606060606060606,0.525348996947099,0.651515181340249
MoCH,ZoomNeXt_Baseline,Test,v_13_28,43,0.6110159275734919,0.731126829670212,0.8245818167543498,0.7151450338976179,0.13953488372093023,0.40675348743067624,2.116279069767442,0.8763704349171074,0.6690814476867404
MoCH,ZoomNeXt_Baseline,Test,v_13_30,49,0.31708842196019404,0.38113006682066103,0.4478596039531321,0.3387071665893664,0.5102040816326531,0.1812779579063599,1.183673469387755,0.5392572376939082,0.2667865641567178
MoCH,ZoomNeXt_Baseline,Test,v_13_31,18,0.442348567002474,0.6005282996138332,0.9621957770928267,0.4549551452838376,0.16666666666666666,0.2530575702332417,3.1666666666666665,0.4772761968305399,0.6555453938915412
MoCH,ZoomNeXt_Baseline,Test,v_13_34,117,0.6144282764936587,0.6949446906728869,0.808781758868364,0.6474668781989068,0.21367521367521367,0.34722953589640687,1.1282051282051282,0.6916028987208527,0.6544308655573173
MoCH,ZoomNeXt_Baseline,Test,v_13_35,35,0.3214041724730037,0.4572173751288245,0.9829769302940097,0.3269935673841378,0.5428571428571428,0.12725414754985154,4.628571428571429,0.3365666473369098,0.4628081250923003
MoCH,ZoomNeXt_Baseline,Test,v_13_36,46,0.21955562653070881,0.2732769766662998,0.41279961098773343,0.2246041120238506,0.6956521739130435,0.10616522964839215,1.2826086956521738,0.2671848227440573,0.23361184130663265
MoCH,ZoomNeXt_Baseline,Test,v_13_40,39,0.5274832089079187,0.6530789097699985,0.9442636430653906,0.5543694935972235,0.2564102564102564,0.35936405380269754,2.4871794871794872,0.5951746132642499,0.6932860203650902
MoCH,ZoomNeXt_Baseline,Test,v_13_8,29,0.7701309520625206,0.8676795825229245,0.9618249362056916,0.8004182386111308,0.0,0.32386260976174475,1.4137931034482758,0.8369030128178336,0.8608560353319912
MoCH,ZoomNeXt_Baseline,Test,v_14_0,148,0.49512376500403493,0.5536102710957733,0.5613677943093357,0.575316317211539,0.36486486486486486,0.35120716905939453,1.2162162162162162,0.7232087225409551,0.511819325913318
MoCH,ZoomNeXt_Baseline,Test,v_14_1,171,0.20421739693843446,0.22676123349071148,0.2390229751931805,0.2232381950342678,0.7368421052631579,0.13873270631679624,1.5847953216374269,0.3774517309513078,0.19301266818506885
MoCH,ZoomNeXt_Baseline,Test,v_15_0,54,0.4312843472939123,0.5350492240018645,0.7299035294739546,0.4626943040470332,0.48148148148148145,0.30246782837695274,2.5925925925925926,0.5560548932760848,0.5325536174564313
MoCH,ZoomNeXt_Baseline,Test,v_16_1,40,0.13449738894449403,0.18156071888587866,0.330275096737771,0.16001374929272844,0.85,0.07329754728556051,2.0,0.33788334492761746,0.19938189344453477
MoCH,ZoomNeXt_Baseline,Test,v_16_13,57,0.001062343323757372,0.0020033751322983575,0.007042404447473435,0.0011677900337685359,1.0,0.001828818208859853,1.0701754385964912,0.04702415928388364,0.0012282628319323788
MoCH,ZoomNeXt_Baseline,Test,v_16_14,48,0.041433542302585384,0.06093547183326953,0.16248784263072744,0.042745624074912086,0.9583333333333334,0.011744496093457792,1.3125,0.09431861338609782,0.05111490066582094
MoCH,ZoomNeXt_Baseline,Test,v_16_15,26,0.015874357370211204,0.030259427823199514,0.5664688637362623,0.015920352052259473,1.0,0.008556733625083248,1.4230769230769231,0.01892238636291259,0.034085175584298306
MoCH,ZoomNeXt_Baseline,Test,v_16_16,30,0.02651304568542154,0.04781692981541123,0.30214483153130683,0.030580611789732624,1.0,0.03012613342100263,2.1,0.092215397423992,0.15453095133452452
MoCH,ZoomNeXt_Baseline,Test,v_16_18,45,0.17639608381656255,0.23189469305536367,0.6020290768800375,0.19296984221803307,0.7555555555555555,0.1164894124867711,1.9777777777777779,0.2436395089288317,0.25815651474282886
MoCH,ZoomNeXt_Baseline,Test,v_16_19,25,0.0832571511393564,0.13306036590706294,0.44335217899091184,0.08390722544491051,0.92,0.03480567521681417,1.56,0.11815932474232231,0.10733539830417954
MoCH,ZoomNeXt_Baseline,Test,v_16_19_2,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2484365330403407,0.0
MoCH,ZoomNeXt_Baseline,Test,v_16_3,33,0.11334578226936959,0.13273257355531878,0.15297846408865168,0.1252686489394297,0.8484848484848485,0.07830232591045955,1.0909090909090908,0.2946960184180437,0.11678157787359951
MoCH,ZoomNeXt_Baseline,Test,v_16_5,28,0.0,0.0,0.0,0.0,1.0,0.0,2.6785714285714284,0.05961761760061539,0.0051628021925976516
MoCH,ZoomNeXt_Baseline,Train,v_0_1,57,0.20587468821473762,0.24431038904169677,0.3281831105053205,0.20967551801064135,0.7192982456140351,0.07766191071916925,1.2280701754385965,0.22903508512936513,0.2274544578059671
MoCH,ZoomNeXt_Baseline,Train,v_0_2,119,0.13986858411027808,0.18073851878255287,0.3163388700984918,0.14140054474682037,0.8487394957983193,0.06299231878918742,1.3025210084033614,0.19878425007004935,0.17764020752884185
MoCH,ZoomNeXt_Baseline,Train,v_0_8,75,0.6142911708217831,0.7112508524307938,0.9710497882276633,0.6287627044553237,0.21333333333333335,0.2730107146765239,1.7733333333333334,0.6486189289712545,0.7420700572343567
MoCH,ZoomNeXt_Baseline,Train,v_12_0,45,0.607161428443124,0.7136013695693696,0.9673511952909765,0.6210346732881864,0.2,0.31251047930827286,1.2222222222222223,0.6430323163803355,0.6126663675390757
MoCH,ZoomNeXt_Baseline,Train,v_12_11,74,0.3984075055226878,0.49674522770402585,0.7907668189297485,0.4036726371844539,0.3918918918918919,0.15967698657296744,1.162162162162162,0.43782341021653476,0.35906652076591167
MoCH,ZoomNeXt_Baseline,Train,v_12_12,69,0.761751605170111,0.8338632704182569,0.9859638923506338,0.7719311261640065,0.10144927536231885,0.43897199671111325,1.536231884057971,0.783643426814042,0.7705778273392577
MoCH,ZoomNeXt_Baseline,Train,v_12_2,38,0.43720238223497343,0.5721436976992404,0.9153321688957324,0.45267029187057356,0.2894736842105263,0.2486875133031689,1.0526315789473684,0.4864037555905866,0.41686371968039543
MoCH,ZoomNeXt_Baseline,Train,v_13_15,50,0.2295491613147488,0.33846819781366294,0.4477327846424459,0.2782790498621229,0.62,0.09017554643291671,3.0,0.5633504922030026,0.2379488947683741
MoCH,ZoomNeXt_Baseline,Train,v_13_16,31,0.36912230794764656,0.39691294930995186,0.4110425866409904,0.4067209990907652,0.5806451612903226,0.28210106960870435,1.1290322580645162,0.5021450514978304,0.3902141932733432
MoCH,ZoomNeXt_Baseline,Train,v_13_18,22,0.8922502798704847,0.9428179592182343,0.9286458472302908,0.9584804981119812,0.0,0.5798175838813591,1.4090909090909092,1.0337272481581778,0.8585290062290617
MoCH,ZoomNeXt_Baseline,Train,v_13_19,42,0.833011746996989,0.9077753762342434,0.8459110401674282,0.9818779176461784,0.0,0.40762621405947946,1.2142857142857142,1.1661305439433376,0.860612382254879
MoCH,ZoomNeXt_Baseline,Train,v_13_20,54,0.26646271395906185,0.40667045836551075,0.3365857790336654,0.5656909815947055,0.5370370370370371,0.2092670124206213,1.8518518518518519,1.6230995962959498,0.3085186743569807
MoCH,ZoomNeXt_Baseline,Train,v_13_21,24,0.6379322870721257,0.762319936357215,0.9329673624607123,0.6725204116425209,0.0,0.46771141492512847,2.875,0.7280260174711627,0.6699490973950292
MoCH,ZoomNeXt_Baseline,Train,v_13_22,14,0.6701745224904311,0.8024037925962765,0.7095688584215749,0.925387961350434,0.0,0.24757873997453153,1.1428571428571428,1.3072734459080906,0.8406195077765954
MoCH,ZoomNeXt_Baseline,Train,v_13_23,32,0.6797266214836658,0.8074833147567697,0.9696177796706907,0.6958499597040728,0.0,0.37012997764014444,1.71875,0.7188538135811064,0.6965168400599848
MoCH,ZoomNeXt_Baseline,Train,v_13_29,28,0.3247726523498615,0.3715995631779883,0.41649454726286,0.34910670825429274,0.5714285714285714,0.21044978090092425,1.8571428571428572,0.4011449461355521,0.3221091861146069
MoCH,ZoomNeXt_Baseline,Train,v_13_32,22,0.6028444482879721,0.7448927216576575,0.951536317623468,0.6185764768048614,0.0,0.19889403960121319,3.8636363636363638,0.6490971564763645,0.5476879178961924
MoCH,ZoomNeXt_Baseline,Train,v_13_33,46,0.6302988880980971,0.7209813760127304,0.8631603068701884,0.6618328981090126,0.30434782608695654,0.4155858037920053,1.4565217391304348,0.7354199023249205,0.6392244289608034
MoCH,ZoomNeXt_Baseline,Train,v_13_37,63,0.7659122833522881,0.866156812325697,0.9522765264620815,0.7977004474228959,0.0,0.5044029793731104,1.7777777777777777,0.8391447438123978,0.7024794688127942
MoCH,ZoomNeXt_Baseline,Train,v_13_38,33,0.939276972174056,0.9685923692030755,0.956754486094359,0.9812446948046001,0.0,0.5067749746234916,1.0606060606060606,1.0263696753740965,0.9709169363196382
MoCH,ZoomNeXt_Baseline,Train,v_13_39,50,0.12652838305660163,0.15608625578851992,0.17662855262805,0.1436219536882457,0.82,0.0711914653751468,2.18,0.4098360108698782,0.014395671157848962
MoCH,ZoomNeXt_Baseline,Train,v_13_41,56,0.7985696942489414,0.8713566762671928,0.8673098410889476,0.8800291162622612,0.03571428571428571,0.5549643861440124,1.2857142857142858,0.9899370628276104,0.8025013511434953
